PropertyID,PropType,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,City,State,Country
151621.0,Residential,3.0,3160.0,Dplx Bungalow,2.0,1915.0,12.0,3006.0,2.0,5.0,2.0,0.0,4920.0,3/8/2019,282500.0,"3412-3414 N DOWNER AV,Milwaukee,wisconsin",43.0664672,-87.8780829,Milwaukee,Wisconsin,United States of America
151627.0,Residential,3.0,3160.0,Residence O/S,2.0,1916.0,7.0,1946.0,1.0,4.0,1.0,1.0,4800.0,8/27/2019,253200.0,"3442 N DOWNER AV,Milwaukee,wisconsin",43.0805165,-87.8773937,Milwaukee,Wisconsin,United States of America
151646.0,Residential,3.0,3160.0,Duplex N/S,2.0,1954.0,8.0,2396.0,2.0,4.0,2.0,0.0,5160.0,5/31/2019,315000.0,"3340-3342 N DOWNER AV,Milwaukee,wisconsin",43.0664672,-87.8780829,Milwaukee,Wisconsin,United States of America
151654.0,Residential,3.0,3060.0,Residence O/S,2.0,1920.0,9.0,3037.0,1.0,5.0,3.0,1.0,7200.0,4/8/2019,751000.0,"3365 N SUMMIT AV,Milwaukee,wisconsin",43.0790043,-87.8758248,Milwaukee,Wisconsin,United States of America
151666.0,Residential,3.0,3060.0,Residence O/S,2.0,1916.0,9.0,3872.0,1.0,4.0,3.0,1.0,10800.0,5/24/2019,589000.0,"2825 E NEWPORT AV,Milwaukee,wisconsin",43.0792084,-87.8746578,Milwaukee,Wisconsin,United States of America
151682.0,Residential,3.0,3060.0,Residence O/S,2.0,1927.0,11.0,3992.0,1.0,4.0,2.0,1.0,10062.0,3/7/2019,858000.0,"3347 N LAKE DR,Milwaukee,wisconsin",43.0786224,-87.8729411,Milwaukee,Wisconsin,United States of America
151700.0,Condominium,3.0,5430.0,Condo Duplex,1.0,1972.0,6.0,1891.0,1.0,3.0,2.0,0.0,1.0,10/11/2019,295000.0,"3113 E HAMPSHIRE ST,Milwaukee,wisconsin",43.0752613,-87.8713351,Milwaukee,Wisconsin,United States of America
151703.0,Condominium,3.0,5430.0,Condo Duplex,1.0,1972.0,5.0,1583.0,1.0,2.0,2.0,0.0,1.0,8/30/2019,272500.0,"3131 E HAMPSHIRE ST,Milwaukee,wisconsin",43.0752641,-87.8708474,Milwaukee,Wisconsin,United States of America
151719.0,Condominium,3.0,5415.0,Low Rise 1-3 Stories,2.0,1966.0,7.0,2020.0,1.0,3.0,2.0,1.0,1.0,8/19/2019,420000.0,"3330 N LAKE DR,Milwaukee,wisconsin",43.0783647,-87.8720026,Milwaukee,Wisconsin,United States of America
151720.0,Condominium,3.0,5415.0,Low Rise 1-3 Stories,2.0,1966.0,7.0,2020.0,1.0,3.0,3.0,1.0,1.0,8/23/2019,480000.0,"3332 N LAKE DR,Milwaukee,wisconsin",43.0783647,-87.8720026,Milwaukee,Wisconsin,United States of America
151740.0,Condominium,3.0,5415.0,Low Rise 1-3 Stories,2.0,1966.0,6.0,1932.0,1.0,2.0,2.0,1.0,1.0,7/19/2019,290000.0,"3018 E NEWPORT CT,Milwaukee,wisconsin",43.0790442,-87.8717528,Milwaukee,Wisconsin,United States of America
151875.0,Residential,3.0,3160.0,Dplx Bungalow,1.5,1924.0,11.0,1953.0,2.0,4.0,2.0,0.0,5080.0,9/11/2019,267000.0,"3376 N CRAMER ST,Milwaukee,wisconsin",43.0792871,-87.8862007,Milwaukee,Wisconsin,United States of America
